Matricula;Cod;Data Inicio;Hora Inicio;Data Fim;Hora Fim
017161;0;01/01/2025;00:00;30/01/2025;24:00
018907;0;01/01/2025;00:00;30/01/2025;24:00
030592;0;01/01/2025;00:00;30/01/2025;24:00
019687;0;01/01/2025;00:00;30/01/2025;24:00
028741;0;01/01/2025;00:00;30/01/2025;24:00
033286;0;01/01/2025;00:00;30/01/2025;24:00
020006;0;01/01/2025;00:00;30/01/2025;24:00
030955;0;01/01/2025;00:00;30/01/2025;24:00
019695;0;01/01/2025;00:00;30/01/2025;24:00
028590;0;01/01/2025;00:00;30/01/2025;24:00
029397;0;01/01/2025;00:00;30/01/2025;24:00
028593;0;01/01/2025;00:00;30/01/2025;24:00
014146;0;01/01/2025;00:00;30/01/2025;24:00
030614;0;01/01/2025;00:00;30/01/2025;24:00
028537;0;01/01/2025;00:00;30/01/2025;24:00
028543;0;01/01/2025;00:00;30/01/2025;24:00
031057;0;01/01/2025;00:00;30/01/2025;24:00
029907;0;01/01/2025;00:00;30/01/2025;24:00
032241;0;01/01/2025;00:00;30/01/2025;24:00
029890;0;01/01/2025;00:00;30/01/2025;24:00
028548;0;01/01/2025;00:00;30/01/2025;24:00
018257;0;01/01/2025;00:00;30/01/2025;24:00
025873;0;01/01/2025;00:00;30/01/2025;24:00
017617;0;01/01/2025;00:00;30/01/2025;24:00
020359;0;01/01/2025;00:00;30/01/2025;24:00
032213;0;01/01/2025;00:00;30/01/2025;24:00
030957;0;01/01/2025;00:00;30/01/2025;24:00
031107;0;01/01/2025;00:00;30/01/2025;24:00
032246;0;01/01/2025;00:00;30/01/2025;24:00
031052;0;01/01/2025;00:00;30/01/2025;24:00
032270;0;01/01/2025;00:00;30/01/2025;24:00
019776;0;01/01/2025;00:00;30/01/2025;24:00
015924;0;01/01/2025;00:00;30/01/2025;24:00
031049;0;01/01/2025;00:00;30/01/2025;24:00
028562;0;01/01/2025;00:00;30/01/2025;24:00
031415;0;01/01/2025;00:00;30/01/2025;24:00
031768;0;01/01/2025;00:00;30/01/2025;24:00
032248;0;01/01/2025;00:00;30/01/2025;24:00
032547;0;01/01/2025;00:00;30/01/2025;24:00
014766;0;01/01/2025;00:00;30/01/2025;24:00
030993;0;01/01/2025;00:00;30/01/2025;24:00
020570;0;01/01/2025;00:00;30/01/2025;24:00
033288;0;01/01/2025;00:00;30/01/2025;24:00
020081;0;01/01/2025;00:00;30/01/2025;24:00
030613;0;01/01/2025;00:00;30/01/2025;24:00
030980;0;01/01/2025;00:00;30/01/2025;24:00
031109;0;01/01/2025;00:00;30/01/2025;24:00
028540;0;01/01/2025;00:00;30/01/2025;24:00
019210;0;01/01/2025;00:00;30/01/2025;24:00
031046;0;01/01/2025;00:00;30/01/2025;24:00
031121;0;01/01/2025;00:00;30/01/2025;24:00
032235;0;01/01/2025;00:00;30/01/2025;24:00
019830;0;01/01/2025;00:00;30/01/2025;24:00
032908;0;01/01/2025;00:00;30/01/2025;24:00
031766;0;01/01/2025;00:00;30/01/2025;24:00
